,Date,USD
192,268,1182.8
193,271,1181.4
194,272,1177.8
195,273,1178.0
196,274,1201.9
197,275,1203.4
198,278,1185.5
199,279,1178.0
200,280,1173.8
201,281,1172.7
202,282,1170.5
203,285,1176.0
204,286,1171.0
205,287,1168.0
206,288,1165.3
207,289,1168.0
208,292,1166.0
209,293,1156.3
210,294,1158.5
211,295,1164.3
212,296,1159.3
213,299,1154.0
214,300,1157.4
215,301,1147.4
216,302,1144.4
217,303,1132.8
218,306,1104.6
219,307,1105.6
220,308,1088.6
221,309,1097.4
222,310,1080.8
223,313,1100.0
224,314,1096.2
225,315,1090.3
226,316,1087.5
227,317,1098.4
228,320,1091.9
229,321,1090.7
230,322,1085.1
231,323,1089.8
232,324,1093.5
233,327,1097.0
234,328,1108.3
235,329,1119.0
236,330,1116.8
237,331,1118.3
238,334,1118.8
239,335,1111.5
240,336,1126.2
241,337,1147.7
242,338,1156.5
243,341,1166.5
244,342,1137.5
245,343,1120.8
246,344,1119.0
247,345,1135.0
248,348,1135.0
249,349,1142.3
250,350,1137.8
251,351,1128.0
252,352,1118.3
253,355,1119.5
254,356,1121.2
255,357,1109.9
256,358,1109.5
257,359,1100.3
258,362,1104.8
259,363,1106.0
260,364,1117.6
261,365,1117.5
262,366,1141.5
263,369,1133.3
264,370,1122.9
265,371,1131.4
266,372,1154.5
267,373,1146.7
268,376,1131.1
269,377,1132.1
270,378,1114.0
271,379,1119.0
272,380,1140.8
273,383,1139.8
274,384,1147.5
275,385,1144.6
276,386,1140.0
277,387,1151.6
278,390,1164.9
279,391,1165.2
280,392,1173.9
281,393,1184.3
282,394,1180.9
283,397,1175.4
284,398,1177.8
285,399,1167.1
286,400,1167.0
287,401,1161.3
288,404,1166.4
289,405,1165.7
290,406,1179.6
291,407,1148.6
292,408,1142.4
293,411,1134.0
294,412,1123.1
295,413,1114.7
296,414,1106.3
297,415,1088.9
298,418,1089.6
299,419,1087.1
300,420,1085.9
301,421,1087.4
302,422,1081.5
303,425,1084.8
304,426,1079.2
305,427,1067.8
306,428,1082.6
307,429,1081.8
308,432,1070.5
309,433,1076.4
310,434,1068.0
311,435,1071.0
312,436,1057.4
313,439,1061.9
314,440,1065.4
315,441,1055.4
316,442,1055.5
317,443,1079.3
318,446,1075.8
319,447,1072.1
320,448,1081.0
321,449,1071.0
322,450,1072.5
323,453,1068.3
324,454,1061.5
325,455,1075.3
326,456,1049.4
327,457,1062.5
328,460,1078.8
329,461,1074.9
330,462,1068.3
331,463,1068.3
332,464,1068.3
333,467,1068.3
334,468,1070.1
335,469,1060.0
336,470,1060.0
337,471,1060.0
338,474,1082.3
339,475,1077.0
340,476,1091.4
341,477,1106.4
342,478,1101.9
343,481,1100.8
344,482,1085.4
345,483,1088.2
346,484,1088.4
347,485,1093.8
348,488,1089.2
349,489,1086.3
350,490,1101.8
351,491,1096.5
352,492,1096.3
353,495,1106.6
354,496,1113.6
355,497,1116.3
356,498,1114.0
357,499,1111.8
358,502,1126.5
359,503,1128.5
360,504,1132.0
361,505,1156.4
362,506,1150.4
363,509,1193.3
364,510,1191.0
365,511,1190.0
366,512,1241.0
367,513,1239.8
368,516,1208.2
369,517,1209.5
370,518,1210.0
371,519,1210.1
372,520,1231.2
373,523,1211.0
374,524,1221.4
375,525,1250.8
376,526,1236.0
377,527,1226.5
378,530,1234.9
379,531,1236.5
380,532,1239.2
381,533,1250.3
382,534,1277.5
383,537,1267.9
384,538,1267.0
385,539,1246.4
386,540,1266.5
387,541,1264.8
388,544,1242.8
389,545,1232.0
390,546,1228.5
391,547,1266.5
392,548,1252.1
393,551,1244.9
394,552,1252.5
395,553,1217.6
396,554,1221.0
397,555,1221.0
398,558,1221.0
399,559,1226.0
400,560,1236.3
401,561,1237.0
402,562,1213.6
403,565,1219.8
404,566,1231.3
405,567,1221.4
406,568,1242.1
407,569,1239.5
408,572,1254.8
409,573,1254.6
410,574,1245.8
411,575,1233.9
412,576,1227.1
413,579,1234.3
414,580,1255.4
415,581,1252.0
416,582,1249.3
417,583,1243.3
418,586,1238.9
419,587,1241.7
420,588,1247.4
421,589,1256.0
422,590,1285.7
423,593,1285.7
424,594,1294.0
425,595,1283.0
426,596,1280.3
427,597,1289.0
428,600,1265.3
429,601,1262.8
430,602,1276.9
431,603,1279.3
432,604,1265.9
433,607,1285.8
434,608,1277.0
435,609,1272.9
436,610,1246.3
437,611,1254.2
438,614,1245.9
439,615,1236.9
440,616,1220.6
441,617,1223.9
442,618,1216.3
443,621,1216.3
444,622,1212.1
445,623,1214.5
446,624,1212.4
447,625,1240.5
448,628,1244.0
449,629,1241.0
450,630,1263.0
451,631,1263.9
452,632,1275.5
453,635,1280.8
454,636,1287.2
455,637,1283.3
456,638,1310.8
457,639,1290.7
458,642,1281.8
459,643,1272.6
460,644,1264.9
461,645,1262.2
462,646,1315.5
463,649,1324.6
464,650,1309.7
465,651,1321.5
466,652,1320.8
467,653,1340.0
468,656,1350.8
469,657,1350.8
470,658,1366.3
471,659,1356.7
472,660,1354.3
473,663,1357.1
474,664,1342.4
475,665,1342.8
476,666,1323.6
477,667,1327.0
478,670,1334.7
479,671,1330.9
480,672,1315.9
481,673,1321.2
482,674,1320.8
483,677,1313.2
484,678,1323.0
485,679,1329.0
486,680,1341.8
487,681,1342.0
488,684,1349.7
489,685,1363.8
490,686,1358.9
491,687,1362.8
492,688,1340.4
493,691,1336.8
494,692,1341.0
495,693,1347.7
496,694,1355.0
497,695,1352.2
498,698,1339.4
499,699,1344.0
500,700,1343.4
501,701,1350.1
502,702,1346.4
503,705,1335.9
504,706,1342.0
505,707,1327.3
506,708,1321.3
507,709,1318.8
508,712,1318.8
509,713,1318.2
510,714,1309.3
511,715,1309.5
512,716,1324.7
513,719,1326.4
514,720,1337.3
515,721,1348.4
516,722,1343.4
517,723,1330.9
