,Date,Mask,Bit Day 1,Bit Day 2,Bit Day 3,Bit Price,Gold Day 1,Gold Day 2,Gold Day 3,Gold Price,Gold Gain,Bit Gain,Gold 20 Days BIAS,Bit 5 Days BIAS,Gold Bull Market,Bit Bull Market,Gold Risk,Bit Risk,Org Bit Price,Org Gold Price,Bit ARIMA,Gold ARIMA
405,405,1,286.53622,298.9074,286.64197,-0.7016170870944605,1165.7798,1166.0609,1165.6396,-0.2660145156200695,-0.18681318681318676,0.009701152383073425,-0.22722966088367322,-0.12657780663668153,-0.023694884231722058,0.16002645005140437,0.05213231397757623,-0.07015252544967976,296.212006,1165.7,284.34078238611465,1167.2290588107635
406,406,1,299.0921,288.31573,301.6647,-0.6658772993566633,1177.7704,1177.7665,1176.6207,-0.17828968128747302,0.13406593406593215,-0.002052578853751069,-0.08779262437520541,-0.05761095181584763,-0.008288558674697466,0.2010342338327904,0.006193452181349146,-0.11844271698913067,306.330994,1179.6,297.42784751409573,1165.2940292059009
407,407,1,310.1579,301.7798,290.00986,-0.6240624433568591,1151.2333,1151.2356,1151.2632,-0.3739349952666462,-0.8527472527472517,0.02344050727540778,-0.44865860723242657,0.006498145461742322,-0.05051710377522889,0.2478147910064512,0.12723798919054485,-0.17051187370031695,318.170013,1148.6,306.76933636532874,1177.9747402695043
408,408,1,324.2545,314.52954,304.85114,-0.5675547556475247,1139.0502,1139.2031,1138.8335,-0.4130640580624796,-0.30769230769230266,0.08509670735381442,-0.5159221774924574,0.11768206645034157,-0.07392802304939883,0.3285443133143851,0.16400218801952704,-0.2604820456577017,334.169006,1142.4,319.68506450856086,1147.4824119559123
409,409,0,346.1101,333.29663,321.14343,-0.5724712268451819,1139.0502,1139.2031,1138.8335,-0.4130640580624796,-0.17142857142857038,-0.1726602932086322,-0.5106541098150192,-0.05066689674456171,-0.10205820975570257,0.30928282346131375,0.18850735410684827,-0.2096225175637595,332.777008,1142.4,333.6691285785695,1147.4824119559123
410,410,0,349.6703,367.8762,350.26163,-0.5912083175467551,1139.0502,1139.2031,1138.8335,-0.4130640580624796,-0.17142857142857038,-0.23065638941303285,-0.49775273859802766,-0.21808404980264973,-0.11553037159487922,0.2515905054285492,0.19787215522185542,-0.12709605995260886,327.471985,1142.4,331.51715992685286,1147.4824119559123
411,411,1,354.20804,385.6036,410.7993,-0.45738969084123315,1132.7024,1132.5841,1132.7334,-0.46607762701167577,-0.356043956043957,0.40952012805539306,-0.578388795582064,0.1353953974505281,-0.1293380601415699,0.37770951815699577,0.22891509792455222,-0.3049123378884938,365.359985,1134.0,326.3815092573249,1142.4526028161015
412,412,1,421.39206,405.83743,444.85593,-0.27182086030186037,1125.3223,1125.2935,1125.336,-0.5348690438624182,-0.41098901098901197,0.6266818695601738,-0.677487868975545,0.5317533876605742,-0.14444325147205506,0.6398917725851592,0.2653623006704908,-0.6044150435548348,417.899994,1123.1,364.9602010131322,1138.5228561580811
413,413,1,470.33136,473.2824,465.8573,0.0024777196163070503,1114.5182,1114.6239,1114.6282,-0.5878826128116126,-0.356043956043952,0.9990225652653679,-0.7368989484831172,1.0,-0.16907776965848487,0.9999999999999998,0.3014506318905015,-1.0,495.562012,1114.7,422.559598380662,1119.272066444715
414,414,1,454.3502,442.05386,440.70996,-0.16705957021746998,1100.9017,1100.8833,1101.019,-0.6408961817608088,-0.356043956043957,-0.8634661454471871,-0.7938348462817459,0.13929325808912452,-0.19684669504667696,0.9799118486589129,0.33983803796200585,-0.8049599649320169,447.561005,1106.3,510.0711596771149,1117.214377509187
415,415,1,389.64468,393.41425,397.27127,-0.34974984865008407,1088.6289,1088.2933,1088.2905,-0.7507100031555698,-0.5538461538461499,-0.9186606316232515,-0.9482072972593442,-0.5782918518516568,-0.242491689627933,0.797756502911279,0.4168251613532101,-0.5052252394722687,395.835999,1088.9,433.8289510559677,1102.9658609335288
416,416,0,388.5433,384.04883,383.28726,-0.36829260071416736,1088.6289,1088.2933,1088.2905,-0.7507100031555698,-0.17142857142857038,-0.2298408773216317,-0.8962674277509989,-0.6842585203720507,-0.27184522116098186,0.6904242155495234,0.43178476465412774,-0.3942820610102462,390.585999,1088.9,383.7446238420982,1102.9658609335288
417,417,0,386.47748,384.5351,381.9809,-0.370733215400606,1088.6289,1088.2933,1088.2905,-0.7507100031555698,-0.17142857142857038,-0.16227074356708118,-0.8470508049225203,-0.6367756666081053,-0.2809425426499179,0.5999828920480952,0.4288539658804089,-0.3291451933477666,389.894989,1088.9,400.6401462059352,1102.9658609335288
418,418,1,382.9327,379.57147,377.96417,-0.387040149527905,1090.3755,1090.3608,1090.0751,-0.7462922057431376,-0.156043956043959,-0.22045861250198823,-0.7880674429887216,-0.4584857005956925,-0.2969582999925242,0.49380646319335103,0.43001457179899294,-0.2780740929493519,385.278015,1089.6,405.1730522213731,1087.392484772402
419,419,1,375.81836,373.47403,370.367,-0.4007830554749321,1088.5006,1088.536,1088.5198,-0.7620700536446838,-0.22637362637362532,-0.20969906406266553,-0.7719851732633265,-0.35497451960604887,-0.30293754299174247,0.4820774818793989,0.43180464997636636,-0.2898037895885378,381.386993,1087.1,392.38648398160814,1087.9683638092715
420,420,1,372.10117,366.51703,364.30634,-0.5448937996281196,1086.3953,1086.4596,1086.5204,-0.7696434206374247,-0.19780219780219274,-0.7567675716951774,-0.7394119415948672,-0.7177173551103769,-0.31584129346271483,0.2772306019454275,0.43615532676536084,-0.0448003829398943,340.584991,1085.9,377.4134865919376,1085.2542351730028
421,421,1,332.8049,365.04276,359.70334,-0.5290141293598576,1084.645,1084.6704,1084.8163,-0.7601767118964968,-0.13846153846153741,-0.08539249592964585,-0.6780273816603282,-0.5600614045856492,-0.325188611330574,0.17664519821832902,0.4306728667114603,0.005912147253024358,345.080994,1087.4,329.10071666212355,1085.0807395772022
422,422,1,341.40628,328.69,360.24316,-0.5437317518459093,1083.8774,1083.729,1083.7906,-0.7974124329441468,-0.301098901098902,-0.21378931154782757,-0.7029433374729283,-0.49622506402853384,-0.35034976616995084,0.05609458157165803,0.4593610335060969,0.09262096548890453,340.914001,1081.5,347.1443498426817,1086.0510143924696
423,423,0,336.63077,337.14066,324.58966,-0.5533845823095076,1083.8774,1083.729,1083.7906,-0.7974124329441468,-0.17142857142857038,-0.1925356936976119,-0.6558674421590454,-0.41479292021566794,-0.36620383369507326,-0.075002277835579,0.46309449360477806,0.1844260320764537,338.181,1081.5,346.4982855048006,1086.0510143924696
424,424,0,334.4865,332.8603,333.36545,-0.5658135700369906,1083.8774,1083.729,1083.7906,-0.7974124329441468,-0.17142857142857038,-0.20418540908910868,-0.6054123723143681,-0.3404064854219162,-0.3961602643153055,-0.13086544051166116,0.47894434815335285,0.2153208742166779,334.661987,1081.5,338.0605658902794,1086.0510143924696
425,425,1,331.18808,331.00015,329.37073,-0.5765365080201366,1082.9915,1083.1414,1082.7463,-0.7765856737141057,-0.09890109890109884,-0.19702623470665548,-0.5163071370100678,-0.3576024876996577,-0.40867999669802124,-0.1514481947605446,0.4700275908998117,0.23594842909456815,331.626007,1084.8,334.9070045668385,1081.9884167148512
426,426,1,328.25848,327.77917,327.58844,-0.5527876610989662,1081.5988,1081.4728,1081.842,-0.8119280530135686,-0.29450549450549146,-0.052370710901689,-0.5248420770453381,-0.24839148247126944,-0.4662651283797705,-0.27981781330006505,0.5246060222612356,0.31973521846677166,338.350006,1079.2,329.92012415124026,1086.4846768317605
427,427,1,336.14127,324.8238,324.3319,-0.5592122831950743,1080.0774,1080.2572,1079.9629,-0.8838750394446206,-0.4219780219780229,-0.17898901563475325,-0.6174165930433508,-0.2611620489585021,-0.5128352263515603,-0.5258002701585438,0.5883189838980776,0.5263071847784773,336.531006,1067.8,337.36163829251973,1079.6946326075736
428,428,1,333.88568,333.4379,321.67438,-0.5634399988781102,1077.1493,1078.2517,1078.65,-0.7904701798674667,0.1538461538461539,-0.16977003701744162,-0.39685885336133464,-0.2697036976374614,-0.5242684418076857,-0.9039911248845429,0.5483748752554278,0.8416065275772078,335.334015,1082.6,335.18682665388303,1067.7883919651645
429,429,1,334.75568,333.05508,332.58115,-0.5947367136444228,1075.0264,1074.5392,1076.4595,-0.7955190911959615,-0.18901098901098695,-0.2833609129217891,-0.3694927098085323,-0.36866989319111476,-0.5354761903741005,-0.9196985581407284,0.5523652563891164,0.8751396768681186,326.472992,1081.8,336.28336331477726,1085.254159575232
430,430,0,326.44733,336.29398,334.47256,-0.5887818236075075,1075.0264,1074.5392,1076.4595,-0.7955190911959615,-0.17142857142857038,-0.12704030404284994,-0.3319519795671294,-0.336205891601008,-0.5355586889439243,-0.7739805128849491,0.5438633217779862,0.7476076662855997,328.158997,1081.8,326.8977891425398,1085.254159575232
431,431,0,330.90494,328.86505,339.44458,-0.592839991429575,1075.0264,1074.5392,1076.4595,-0.7955190911959615,-0.17142857142857038,-0.1690585555926627,-0.2994473245460567,-0.3211894951150429,-0.5559072643163274,-0.7012252074642005,0.5550336619147698,0.6841795860559909,327.01001,1081.8,329.31420065963323,1085.254159575232
432,432,1,328.91034,333.53198,331.34567,-0.5995224425462404,1072.9229,1072.3817,1071.5214,-0.86683496371095,-0.41978021978021773,-0.18007095531743456,-0.40878749304992645,-0.3161069401378134,-0.6190261541884186,-0.6462179862713471,0.6377015689349605,0.6375239280149698,325.118011,1070.5,327.00718821357776,1079.7337165307156
433,433,1,326.80832,331.28665,336.21823,-0.6067982546650512,1071.1665,1071.3773,1070.2338,-0.829599242663301,-0.041758241758238696,-0.1825609031634482,-0.31056963310571195,-0.3109102812064559,-0.6286618387861644,-0.6149381109021124,0.6240669560137473,0.6105151441698786,323.058014,1076.4,324.6655862309432,1068.9557460427618
434,434,1,324.22806,328.63083,333.40833,-0.5853381484610325,1070.1658,1069.6312,1070.051,-0.8826128116124963,-0.356043956043957,-0.06197505799924488,-0.39265938975522185,-0.23321873011273092,-0.6610888734350184,-0.5740590579010767,0.6724586851636625,0.560523429290797,329.134003,1068.0,322.123235159677,1077.2020267513458
435,435,1,331.46472,325.6943,330.38507,-0.45245553868798893,1067.4064,1067.7013,1066.6804,-0.8636793941306413,-0.10549450549450444,0.4055922774948897,-0.3435564744366449,0.17496948751690683,-0.6799664841618496,-0.2640823756796542,0.6784922952763399,0.218946145037219,366.756989,1071.0,330.0397291441056,1064.5510587623792
436,436,1,375.71616,333.3152,327.18274,-0.46364476507637287,1065.4519,1064.7031,1065.1958,-0.9495108867150517,-0.4703296703296673,-0.19898294201644837,-0.4960015086174101,0.025101004260007997,-0.6973519423925358,-0.17420120065883582,0.7292120077422679,0.17549367203385846,363.588989,1057.4,371.5629360983757,1072.274614031739
437,437,0,364.10156,378.07864,335.90894,-0.47795969196688426,1065.4519,1064.7031,1065.1958,-0.9495108867150517,-0.17142857142857038,-0.21209946164685808,-0.47643517961510257,-0.12423452699622578,-0.7162036946870702,-0.10749917516849095,0.7419705248535493,0.15114679701880496,359.536011,1057.4,359.817116739682,1072.274614031739
438,438,0,366.1763,371.527,383.1274,-0.43415293822082845,1065.4519,1064.7031,1065.1958,-0.9495108867150517,-0.17142857142857038,0.0317991986704064,-0.45637484689674435,-0.09469113324884587,-0.7051331765051767,-0.021256100694097113,0.7272695276902257,0.07352623690913629,371.938995,1057.4,356.4442613181758,1072.274614031739
439,439,1,384.83157,378.08807,382.75677,-0.39733582012006097,1058.5555,1061.154,1060.2621,-0.9211107604922688,-0.07252747252747146,0.00246827170269856,-0.3834182234605961,-0.10250472522083631,-0.708984517154861,0.04800761884333771,0.7141201759298623,0.01772441096701627,382.363007,1061.9,373.0879196099766,1056.3809009552522
440,440,1,392.14575,394.8168,389.90985,-0.4094575067644797,1060.7482,1059.314,1061.684,-0.8990217734301043,-0.09450549450549345,-0.20289586753331523,-0.32598765684607894,-0.1758451860311102,-0.7383194038512715,0.0797322092098085,0.7278082210293482,0.006624223872245816,378.931,1065.4,384.172184945507,1061.946567473801
441,441,1,385.10565,398.5914,399.84897,-0.46843760379912514,1066.0282,1063.8215,1062.6772,-0.9621331650362892,-0.39120879120879015,-0.39952995301745875,-0.43321160427102556,-0.37820556960679064,-0.7649392840212486,0.011601999606933866,0.7766353367802796,0.10504612516644563,362.231995,1055.4,378.0852590475247,1067.4437542527553
442,442,1,370.28195,394.61148,400.64267,-0.4400301111689022,1063.7972,1069.2495,1067.5438,-0.9615020511202275,-0.16923076923077018,-0.03282142335724311,-0.4156068199169719,-0.30535809283523485,-0.7805932324765457,0.022620184913207275,0.7869194832604844,0.08081372846983914,370.274994,1055.5,357.9216204470496,1052.8765357324062
443,443,1,383.685,383.69278,399.38193,-0.4639025905649776,1063.5299,1068.0189,1072.1145,-0.8112969390975078,0.35164835164835173,-0.25220625529921414,-0.11047753988479339,-0.3679691329545898,-0.7562263414344712,-0.005611037856495971,0.6949338786885861,0.11719457339286277,363.515991,1079.3,372.7574561456232,1059.9431557484208
444,444,0,368.96106,390.5728,390.57846,-0.3711216772264665,1063.5299,1068.0189,1072.1145,-0.8112969390975078,-0.17142857142857038,0.23731169906511645,-0.10906244355146963,-0.06376602399147574,-0.7641915974831628,0.11626790964699629,0.7018901852802311,-0.04689378327409921,389.785004,1079.3,362.972367873149,1059.9431557484208
